,respondent_id,as_of_year,agency_abbr,loan_type_name,loan_amount_000s,owner_occupancy_name,loan_purpose_name,property_type_name,preapproval_name,msamd_name,state_abbr,county_name,applicant_ethnicity_name,co_applicant_ethnicity_name,applicant_race_name_1,co_applicant_race_name_1,applicant_sex_name,co_applicant_sex_name,applicant_income_000s,purchaser_type_name,denial_reason_name_1,hoepa_status_name,lien_status_name,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,action_taken_name
115908,0000032489,2011,FDIC,FHA-insured,203,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,HI,Maui County,Not Hispanic or Latino,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Asian,Female,Male,46.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Secured by a first lien,3193.0,87.12999725341797,72400.0,97.33999633789062,573.0,1249.0,Application denied by financial institution
128686,0000817824,2011,CFPB,Conventional,12,Owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,"South Bend, Mishawaka - IN, MI",IN,St. Joseph County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,59.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Not secured by a lien,4998.0,16.129999160766598,59400.0,81.2300033569336,1784.0,2203.0,Application denied by financial institution
96796,0000229801,2011,CFPB,Conventional,307,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"New York, White Plains, Wayne - NY, NJ",NJ,Passaic County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,328.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,5478.0,13.130000114440918,67400.0,186.1300048828125,1709.0,1780.0,Loan originated
8121,0000852218,2011,CFPB,Conventional,244,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,Columbus - OH,OH,Franklin County,Not Hispanic or Latino,No co-applicant,Asian,No co-applicant,Female,No co-applicant,110.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,1487.0,12.779999732971193,66600.0,155.67999267578125,110.0,477.0,Loan originated
138736,0000146672,2011,CFPB,Conventional,335,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"New York, White Plains, Wayne - NY, NJ",NJ,Passaic County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,141.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,4481.0,7.829999923706055,67400.0,154.7100067138672,1584.0,1584.0,Application denied by financial institution
32624,13-3222578,2011,CFPB,Conventional,645,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Dallas, Plano, Irving - TX",TX,Dallas County,Not Hispanic or Latino,Not Hispanic or Latino,Asian,Asian,Female,Male,354.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,1423.0,6.820000171661378,69600.0,355.1600036621094,526.0,553.0,Loan originated
17581,0000063440,2011,NCUA,Conventional,177,Not owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Portland, Vancouver, Hillsboro - OR, WA",OR,Washington County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,46.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,2758.0,14.869999885559082,72000.0,122.8499984741211,816.0,960.0,Loan originated
37123,38-3358941,2011,NCUA,Conventional,111,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Muskegon, Norton Shores - MI",MI,Muskegon County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,66.0,"Life insurance company, credit union, mortgage bank, or finance company",,Not a HOEPA loan,Secured by a first lien,7191.0,4.9099998474121085,54200.0,116.31999969482422,2371.0,2628.0,Loan originated
80114,0000504713,2011,CFPB,FHA-insured,115,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Dayton - OH,OH,Montgomery County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,49.0,Ginnie Mae (GNMA),,Not a HOEPA loan,Secured by a first lien,7116.0,11.4399995803833,62400.0,124.91000366210938,2195.0,2640.0,Loan originated
7804,0003467828,2011,FRS,Conventional,417,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Atlanta, Sandy Springs, Marietta - GA",GA,Forsyth County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,259.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,10465.0,6.369999885559082,68300.0,138.50999450683594,3421.0,3905.0,Loan originated
145399,1461700004,2011,HUD,Conventional,64,Not owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Atlanta, Sandy Springs, Marietta - GA",GA,Coweta County,Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,46.0,Loan was not originated or was not sold in calendar year covered by register,Employment history,Not a HOEPA loan,Secured by a first lien,7130.0,14.210000038146973,68300.0,85.79000091552734,2101.0,2697.0,Application denied by financial institution
28131,0000058395,2011,FDIC,Conventional,417,Not owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,WY,Carbon County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,541.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,1738.0,6.789999961853027,67400.0,85.9000015258789,523.0,1234.0,Loan originated
62379,0000817824,2011,CFPB,FHA-insured,41,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was requested,"Lansing, East Lansing - MI",MI,Ingham County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,16.0,"Life insurance company, credit union, mortgage bank, or finance company",,Not a HOEPA loan,Secured by a first lien,3680.0,55.349998474121094,67800.0,68.20999908447266,842.0,1206.0,Loan originated
4238,7071400009,2011,HUD,Conventional,161,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"New Haven, Milford - CT",CT,New Haven County,Hispanic or Latino,Not Hispanic or Latino,White,White,Female,Male,159.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,6258.0,5.510000228881836,81400.0,92.5,1964.0,2341.0,Loan originated
184478,3802909995,2011,HUD,VA-guaranteed,132,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Niles, Benton Harbor - MI",MI,Berrien County,Not Hispanic or Latino,No co-applicant,Black or African American,No co-applicant,Male,No co-applicant,120.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Secured by a first lien,3850.0,67.43000030517578,57400.0,93.4499969482422,903.0,1152.0,Application denied by financial institution
113279,26-4599244,2011,HUD,Conventional,435,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Oakland, Fremont, Hayward - CA",CA,Alameda County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,180.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Secured by a first lien,3649.0,20.71999931335449,92300.0,114.79000091552734,1206.0,1336.0,Application denied by financial institution
162492,0000817824,2011,CFPB,Conventional,160,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Baltimore, Towson - MD",MD,Baltimore County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,56.0,Loan was not originated or was not sold in calendar year covered by register,"Insufficient cash (downpayment, closing costs)",Not a HOEPA loan,Secured by a first lien,3289.0,10.609999656677246,84500.0,69.69000244140625,643.0,1123.0,Application denied by financial institution
25179,0000636771,2011,FRS,Conventional,40,Owner-occupied as a principal dwelling,Refinancing,Manufactured housing,Not applicable,,MI,Montcalm County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,68.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,6481.0,4.179999828338623,51400.0,103.63999938964844,1971.0,2592.0,Loan originated
75946,0000480228,2011,CFPB,FHA-insured,105,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Dallas, Plano, Irving - TX",TX,Dallas County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,41.0,Ginnie Mae (GNMA),,Not a HOEPA loan,Secured by a first lien,3148.0,52.95000076293945,69600.0,85.9000015258789,955.0,1165.0,Loan originated
43053,33-0970598,2011,HUD,Conventional,113,Not owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Atlanta, Sandy Springs, Marietta - GA",GA,Henry County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,85.0,"Life insurance company, credit union, mortgage bank, or finance company",,Not a HOEPA loan,Secured by a first lien,13051.0,31.35000038146973,68300.0,88.80000305175781,3492.0,4174.0,Loan originated
48919,0002888798,2011,FRS,Conventional,8,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Indianapolis, Carmel - IN",IN,Johnson County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,29.0,"Life insurance company, credit union, mortgage bank, or finance company",,Not a HOEPA loan,Secured by a subordinate lien,6653.0,3.4300000667572017,66000.0,132.36000061035156,2186.0,2442.0,Loan originated
46193,0000659855,2011,FRS,Conventional,118,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Rapid City - SD,SD,Meade County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,91.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,6784.0,6.25,57300.0,89.20999908447266,1849.0,2730.0,Loan originated
101823,0000852218,2011,CFPB,Conventional,63,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Niles, Benton Harbor - MI",MI,Berrien County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,27.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,6812.0,5.039999961853027,57400.0,96.7300033569336,2230.0,3140.0,Application denied by financial institution
63787,0000011818,2011,OCC,Conventional,212,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,WI,Bayfield County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,135.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,4713.0,3.690000057220459,59100.0,85.93000030517578,1700.0,3350.0,Loan originated
157877,0000015289,2011,FDIC,FHA-insured,119,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,Rapid City - SD,SD,Pennington County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,42.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,3845.0,11.239999771118164,57300.0,109.54000091552734,935.0,1572.0,Application denied by financial institution
145040,0000451965,2011,CFPB,FHA-insured,135,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,Columbus - OH,OH,Delaware County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,92.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,2114.0,3.0299999713897705,66600.0,148.44000244140625,676.0,800.0,Application denied by financial institution
4452,7162800002,2011,HUD,Conventional,18,Owner-occupied as a principal dwelling,Home purchase,Manufactured housing,Not applicable,"Cleveland, Elyria, Mentor - OH",OH,Lorain County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Female,Female,35.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,4018.0,15.380000114440918,62800.0,89.81999969482422,1275.0,1460.0,Loan originated
189770,95-4623407,2011,HUD,FHA-insured,61,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,Muncie - IN,IN,Delaware County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,27.0,Loan was not originated or was not sold in calendar year covered by register,"Insufficient cash (downpayment, closing costs)",Not a HOEPA loan,Secured by a first lien,5626.0,8.800000190734863,52300.0,67.30000305175781,1599.0,2342.0,Application denied by financial institution
196274,0000852218,2011,CFPB,Conventional,99,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Phoenix, Mesa, Glendale - AZ",AZ,Maricopa County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,36.0,Loan was not originated or was not sold in calendar year covered by register,Credit application incomplete,Not a HOEPA loan,Secured by a first lien,6445.0,14.770000457763672,65500.0,129.08000183105472,1876.0,2387.0,Application denied by financial institution
89106,7810600004,2011,HUD,Conventional,324,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Santa Ana, Anaheim, Irvine - CA",CA,Orange County,Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,103.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,6730.0,29.479999542236328,84200.0,129.85000610351562,1601.0,1721.0,Loan originated
95480,0000017464,2011,OCC,Conventional,275,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Warren, Troy, Farmington Hills - MI",MI,Oakland County,Not Hispanic or Latino,No co-applicant,Asian,No co-applicant,Male,No co-applicant,188.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,5971.0,11.670000076293945,73800.0,84.44000244140625,793.0,934.0,Loan originated
40857,0000014769,2011,FDIC,Conventional,112,Not owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,,WI,Grant County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,158.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,3608.0,3.8199999332427983,59100.0,98.04000091552734,701.0,1123.0,Loan originated
40140,22-2894356,2011,HUD,FHA-insured,161,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,"Hartford, West Hartford, East Hartford - CT",CT,Hartford County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,55.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,3326.0,18.61000061035156,86500.0,117.87000274658205,1132.0,1168.0,Loan originated
63711,0000019976,2011,NCUA,Conventional,88,Not owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,OR,Lincoln County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,40.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,4554.0,7.179999828338622,52700.0,101.33000183105469,1726.0,3964.0,Loan originated
137854,7197000003,2011,HUD,Conventional,91,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,VT,Rutland County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Male,71.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Secured by a first lien,2928.0,2.359999895095825,62900.0,79.38999938964844,741.0,1147.0,Application denied by financial institution
194102,0000713964,2011,OCC,FHA-insured,25,Owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,"Virginia Beach, Norfolk, Newport News - VA, NC",VA,Newport News city,Not Hispanic or Latino,No co-applicant,Black or African American,No co-applicant,Female,No co-applicant,52.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Secured by a subordinate lien,6518.0,95.66999816894531,69900.0,60.95000076293945,1444.0,2490.0,Application denied by financial institution
163551,0000817824,2011,CFPB,Conventional,216,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Indianapolis, Carmel - IN",IN,Boone County,Not Hispanic or Latino,Not Hispanic or Latino,Asian,Asian,Male,Female,150.0,Loan was not originated or was not sold in calendar year covered by register,Credit application incomplete,Not a HOEPA loan,Secured by a first lien,5158.0,3.140000104904175,66000.0,139.69999694824222,1580.0,1778.0,Application denied by financial institution
35711,0002888798,2011,FRS,Conventional,235,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Dallas, Plano, Irving - TX",TX,Dallas County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,172.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,2529.0,9.130000114440918,69600.0,147.7100067138672,1061.0,1381.0,Loan originated
63969,0000723112,2011,CFPB,Conventional,49,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Grand Rapids, Wyoming - MI",MI,Kent County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,40.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,3886.0,7.440000057220459,59500.0,181.67999267578125,1287.0,1401.0,Loan originated
107464,0000675332,2011,CFPB,Conventional,2,Not owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,Richmond - VA,VA,Chesterfield County,Not Hispanic or Latino,No co-applicant,Black or African American,No co-applicant,Male,No co-applicant,31.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Not secured by a lien,4420.0,21.43000030517578,74600.0,100.4800033569336,1298.0,1521.0,Application denied by financial institution
196321,0000852218,2011,CFPB,Conventional,10,Owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,"Dallas, Plano, Irving - TX",TX,Dallas County,Not Hispanic or Latino,No co-applicant,Black or African American,No co-applicant,Female,No co-applicant,26.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Secured by a subordinate lien,4507.0,95.58000183105469,69600.0,50.84000015258789,582.0,869.0,Application denied by financial institution
72159,0000062728,2011,NCUA,Conventional,20,Owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,"Birmingham, Hoover - AL",AL,Bibb County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,90.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,7745.0,9.300000190734863,62000.0,79.7699966430664,2374.0,3139.0,Loan originated
952,0000451965,2011,CFPB,Conventional,144,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"New York, White Plains, Wayne - NY, NJ",NJ,Hudson County,Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,82.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,3067.0,89.5999984741211,67400.0,66.86000061035156,160.0,672.0,Loan originated
22742,0000480228,2011,CFPB,Conventional,260,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Trenton, Ewing - NJ",NJ,Mercer County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,135.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,5353.0,35.61000061035156,94400.0,120.4800033569336,1401.0,1638.0,Loan originated
144468,0000480228,2011,CFPB,Conventional,156,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Dallas, Plano, Irving - TX",TX,Hunt County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,78.0,Loan was not originated or was not sold in calendar year covered by register,Employment history,Not a HOEPA loan,Secured by a first lien,9532.0,8.689999580383299,69600.0,89.48999786376953,2969.0,3658.0,Application denied by financial institution
144401,0000058842,2011,FDIC,Conventional,13,Not owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Anniston, Oxford - AL",AL,Calhoun County,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,Black or African American,Female,Male,40.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Secured by a first lien,4043.0,15.380000114440918,51500.0,75.4000015258789,1206.0,1877.0,Application denied by financial institution
60185,0000451965,2011,CFPB,Conventional,306,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Bethesda, Rockville, Frederick - MD",MD,Montgomery County,Not Hispanic or Latino,Not Hispanic or Latino,Asian,Asian,Female,Male,167.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,5204.0,48.22999954223633,111900.0,127.86000061035156,1550.0,1656.0,Loan originated
132066,7810600004,2011,HUD,Conventional,612,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Santa Ana, Anaheim, Irvine - CA",CA,Orange County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,1.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Secured by a first lien,4466.0,23.90999984741211,84200.0,264.8900146484375,1274.0,1321.0,Application denied by financial institution
17482,0000060060,2011,NCUA,Conventional,59,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,IN,Fulton County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,92.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,2886.0,9.8100004196167,52900.0,91.16000366210938,860.0,1111.0,Loan originated
149372,7197000003,2011,HUD,FHA-insured,87,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"South Bend, Mishawaka - IN, MI",IN,St. Joseph County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,44.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,2385.0,50.77999877929688,59400.0,64.52999877929689,511.0,905.0,Application denied by financial institution
53428,0002888798,2011,FRS,FHA-insured,189,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Raleigh, Cary - NC",NC,Wake County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,49.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,7687.0,13.359999656677244,78800.0,99.27999877929688,2474.0,3031.0,Loan originated
145776,0000852218,2011,CFPB,Conventional,199,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Indianapolis, Carmel - IN",IN,Hamilton County,Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,110.0,Loan was not originated or was not sold in calendar year covered by register,Credit application incomplete,Not a HOEPA loan,Secured by a first lien,13032.0,7.190000057220459,66000.0,141.6199951171875,3386.0,3753.0,Application denied by financial institution
179487,0000233031,2011,CFPB,Conventional,25,Owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,"Birmingham, Hoover - AL",AL,Jefferson County,Not Hispanic or Latino,No co-applicant,Black or African American,No co-applicant,Male,No co-applicant,70.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Not secured by a lien,9289.0,27.739999771118164,62000.0,125.0199966430664,3022.0,3317.0,Application denied by financial institution
128702,1635900004,2011,HUD,Conventional,379,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Baltimore, Towson - MD",MD,Anne Arundel County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,79.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,9154.0,9.4399995803833,84500.0,154.7100067138672,2711.0,3123.0,Application denied by financial institution
174047,0000024026,2011,NCUA,Conventional,90,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Indianapolis, Carmel - IN",IN,Boone County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,42.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,6278.0,3.25,66000.0,84.45999908447266,1628.0,2344.0,Application denied by financial institution
179746,95-3821253,2011,HUD,FSA/RHS-guaranteed,244,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,,OR,Josephine County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,40.0,Loan was not originated or was not sold in calendar year covered by register,Other,Not a HOEPA loan,Secured by a first lien,4929.0,8.970000267028809,52700.0,101.80999755859376,1656.0,2093.0,Application denied by financial institution
97433,56-2148606,2011,HUD,Conventional,50,Not owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,"Durham, Chapel Hill - NC",NC,Orange County,Not Hispanic or Latino,Not Hispanic or Latino,White,Asian,Male,Female,183.0,Affiliate institution,,Not a HOEPA loan,Secured by a first lien,5987.0,24.790000915527344,67800.0,88.13999938964844,1648.0,2524.0,Loan originated
2370,31-1197926,2011,CFPB,Conventional,94,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Indianapolis, Carmel - IN",IN,Marion County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,96.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,5026.0,4.420000076293945,66000.0,120.79000091552734,1552.0,1824.0,Loan originated
69059,31-1690008,2011,NCUA,Conventional,96,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Dayton - OH,OH,Montgomery County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,174.0,Affiliate institution,,Not a HOEPA loan,Secured by a first lien,13421.0,7.380000114440918,62400.0,185.7100067138672,4054.0,4557.0,Loan originated
157992,7162800002,2011,HUD,Conventional,31,Owner-occupied as a principal dwelling,Home purchase,Manufactured housing,Not applicable,,SC,Colleton County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,24.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Secured by a first lien,7458.0,31.790000915527344,47700.0,97.1999969482422,2408.0,3184.0,Application denied by financial institution
18379,0002582023,2011,CFPB,Conventional,80,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Salem - OR,OR,Marion County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,49.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,7148.0,24.520000457763672,59200.0,104.43000030517578,1842.0,2285.0,Loan originated
56417,0000030052,2011,FDIC,Conventional,468,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"New York, White Plains, Wayne - NY, NJ",NJ,Bergen County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,205.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,8939.0,29.10000038146973,67400.0,124.30999755859376,2326.0,1649.0,Loan originated
